DATE,MEHOINUSFLA672N
1/1/1984,50120
1/1/1985,52290
1/1/1986,55070
1/1/1987,57100
1/1/1988,57120
1/1/1989,56180
1/1/1990,54810
1/1/1991,54010
1/1/1992,52860
1/1/1993,53850
1/1/1994,54070
1/1/1995,53630
1/1/1996,53830
1/1/1997,55820
1/1/1998,59230
1/1/1999,59560
1/1/2000,62440
1/1/2001,57230
1/1/2002,59020
1/1/2003,59250
1/1/2004,60120
1/1/2005,61970
1/1/2006,63990
1/1/2007,62550
1/1/2008,59100
1/1/2009,60360
1/1/2010,57500
1/1/2011,57090
1/1/2012,57210
1/1/2013,59540
1/1/2014,55810
1/1/2015,59100
1/1/2016,61400
1/1/2017,62600
1/1/2018,63160
1/1/2019,66480
1/1/2020,65110
1/1/2021,64410
1/1/2022,65370
1/2/2022,65371
