Month,red grouper: (Florida)
2004-01,0
2004-02,0
2004-03,95
2004-04,0
2004-05,0
2004-06,0
2004-07,42
2004-08,0
2004-09,0
2004-10,36
2004-11,76
2004-12,0
2005-01,0
2005-02,0
2005-03,100
2005-04,0
2005-05,0
2005-06,32
2005-07,31
2005-08,0
2005-09,48
2005-10,22
2005-11,40
2005-12,17
2006-01,0
2006-02,0
2006-03,23
2006-04,0
2006-05,50
2006-06,0
2006-07,0
2006-08,23
2006-09,41
2006-10,0
2006-11,0
2006-12,0
2007-01,31
2007-02,14
2007-03,0
2007-04,16
2007-05,0
2007-06,0
2007-07,33
2007-08,0
2007-09,17
2007-10,20
2007-11,0
2007-12,27
2008-01,0
2008-02,10
2008-03,10
2008-04,24
2008-05,0
2008-06,10
2008-07,13
2008-08,12
2008-09,6
2008-10,9
2008-11,0
2008-12,0
2009-01,8
2009-02,24
2009-03,11
2009-04,24
2009-05,0
2009-06,21
2009-07,0
2009-08,7
2009-09,14
2009-10,0
2009-11,7
2009-12,0
2010-01,0
2010-02,12
2010-03,7
2010-04,14
2010-05,0
2010-06,12
2010-07,9
2010-08,11
2010-09,0
2010-10,15
2010-11,11
2010-12,0
2011-01,8
2011-02,0
2011-03,11
2011-04,11
2011-05,14
2011-06,7
2011-07,13
2011-08,7
2011-09,7
2011-10,8
2011-11,8
2011-12,18
2012-01,16
2012-02,12
2012-03,14
2012-04,15
2012-05,18
2012-06,17
2012-07,16
2012-08,7
2012-09,14
2012-10,15
2012-11,11
2012-12,12
2013-01,19
2013-02,9
2013-03,15
2013-04,12
2013-05,19
2013-06,22
2013-07,18
2013-08,19
2013-09,5
2013-10,13
2013-11,4
2013-12,16
2014-01,9
2014-02,18
2014-03,15
2014-04,21
2014-05,27
2014-06,24
2014-07,24
2014-08,22
2014-09,16
2014-10,13
2014-11,15
2014-12,19
2015-01,21
2015-02,13
2015-03,29
2015-04,24
2015-05,23
2015-06,23
2015-07,30
2015-08,26
2015-09,15
2015-10,24
2015-11,17
2015-12,21
2016-01,17
2016-02,13
2016-03,14
2016-04,21
2016-05,29
2016-06,27
2016-07,20
2016-08,12
2016-09,13
2016-10,13
2016-11,12
2016-12,16
2017-01,15
2017-02,18
2017-03,17
2017-04,19
2017-05,23
2017-06,31
2017-07,27
2017-08,25
2017-09,10
2017-10,11
2017-11,8
2017-12,14
2018-01,9
2018-02,14
2018-03,14
2018-04,15
2018-05,18
2018-06,33
2018-07,23
2018-08,22
2018-09,13
2018-10,9
2018-11,13
2018-12,15
2019-01,17
2019-02,23
2019-03,23
2019-04,10
2019-05,23
2019-06,25
2019-07,21
2019-08,19
2019-09,12
2019-10,17
2019-11,11
2019-12,19
2020-01,9
2020-02,16
2020-03,17
2020-04,18
2020-05,26
2020-06,33
2020-07,23
2020-08,18
2020-09,14
2020-10,16
2020-11,13
2020-12,17
2021-01,19
2021-02,19
2021-03,18
2021-04,20
2021-05,17
2021-06,29
2021-07,48
2021-08,20
2021-09,25
2021-10,16
2021-11,10
2021-12,18
2022-01,14
2022-02,16
2022-03,19
2022-04,21
2022-05,25
2022-06,23
2022-07,26
2022-08,28
2022-09,16
2022-10,15
2022-11,17
2022-12,19
2023-01,20
2023-02,22
2023-03,26
2023-04,23
2023-05,31
2023-06,37
2023-07,40
2023-08,25
2023-09,21
2023-10,16
2023-11,16
2023-12,18
2024-01,19
2024-02,28
