Month,snapper: (Florida)
2004-01,9
2004-02,30
2004-03,55
2004-04,42
2004-05,37
2004-06,34
2004-07,35
2004-08,49
2004-09,35
2004-10,31
2004-11,26
2004-12,34
2005-01,22
2005-02,26
2005-03,28
2005-04,61
2005-05,43
2005-06,48
2005-07,62
2005-08,53
2005-09,36
2005-10,27
2005-11,35
2005-12,22
2006-01,29
2006-02,22
2006-03,34
2006-04,42
2006-05,39
2006-06,36
2006-07,44
2006-08,48
2006-09,40
2006-10,32
2006-11,23
2006-12,17
2007-01,26
2007-02,23
2007-03,26
2007-04,39
2007-05,36
2007-06,36
2007-07,53
2007-08,47
2007-09,37
2007-10,30
2007-11,21
2007-12,24
2008-01,24
2008-02,28
2008-03,31
2008-04,38
2008-05,37
2008-06,45
2008-07,54
2008-08,43
2008-09,36
2008-10,29
2008-11,24
2008-12,27
2009-01,25
2009-02,29
2009-03,40
2009-04,35
2009-05,39
2009-06,54
2009-07,48
2009-08,41
2009-09,35
2009-10,33
2009-11,30
2009-12,34
2010-01,28
2010-02,29
2010-03,32
2010-04,39
2010-05,39
2010-06,51
2010-07,43
2010-08,42
2010-09,36
2010-10,32
2010-11,26
2010-12,19
2011-01,29
2011-02,27
2011-03,44
2011-04,39
2011-05,44
2011-06,53
2011-07,55
2011-08,42
2011-09,37
2011-10,26
2011-11,23
2011-12,28
2012-01,29
2012-02,32
2012-03,33
2012-04,40
2012-05,49
2012-06,54
2012-07,58
2012-08,43
2012-09,42
2012-10,32
2012-11,26
2012-12,27
2013-01,32
2013-02,35
2013-03,34
2013-04,34
2013-05,40
2013-06,56
2013-07,59
2013-08,60
2013-09,44
2013-10,39
2013-11,33
2013-12,32
2014-01,31
2014-02,33
2014-03,43
2014-04,46
2014-05,57
2014-06,70
2014-07,71
2014-08,53
2014-09,41
2014-10,38
2014-11,27
2014-12,33
2015-01,30
2015-02,34
2015-03,43
2015-04,48
2015-05,56
2015-06,67
2015-07,63
2015-08,54
2015-09,48
2015-10,40
2015-11,34
2015-12,37
2016-01,40
2016-02,41
2016-03,47
2016-04,52
2016-05,65
2016-06,75
2016-07,70
2016-08,52
2016-09,52
2016-10,39
2016-11,37
2016-12,36
2017-01,39
2017-02,45
2017-03,48
2017-04,57
2017-05,67
2017-06,86
2017-07,84
2017-08,62
2017-09,45
2017-10,41
2017-11,39
2017-12,41
2018-01,31
2018-02,43
2018-03,53
2018-04,54
2018-05,57
2018-06,98
2018-07,93
2018-08,73
2018-09,48
2018-10,39
2018-11,37
2018-12,36
2019-01,40
2019-02,43
2019-03,57
2019-04,56
2019-05,63
2019-06,92
2019-07,100
2019-08,55
2019-09,44
2019-10,50
2019-11,40
2019-12,37
2020-01,40
2020-02,44
2020-03,45
2020-04,48
2020-05,67
2020-06,100
2020-07,97
2020-08,67
2020-09,52
2020-10,48
2020-11,40
2020-12,40
2021-01,43
2021-02,43
2021-03,57
2021-04,60
2021-05,64
2021-06,88
2021-07,94
2021-08,56
2021-09,52
2021-10,50
2021-11,37
2021-12,43
2022-01,42
2022-02,46
2022-03,55
2022-04,60
2022-05,66
2022-06,87
2022-07,93
2022-08,66
2022-09,52
2022-10,46
2022-11,36
2022-12,37
2023-01,41
2023-02,47
2023-03,54
2023-04,59
2023-05,67
2023-06,87
2023-07,94
2023-08,60
2023-09,51
2023-10,42
2023-11,39
2023-12,38
2024-01,36
2024-02,41
